model_name,mrr@1,mrr@3,mrr@5,mrr@10,mrr@20,mrr@50,mrr@100,recall@1,recall@3,recall@5,recall@10,recall@20,recall@50,recall@100,precision@1,precision@3,precision@5,precision@10,precision@20,precision@50,precision@100,avg_latency_sec,embedder,source,database,use_first_chunk_only,chunk_size,overlap,num_docs,num_chunks,experiment_time,docs_load_time_sec,embedder_load_time_sec,prompt_mode,estimated_cost_usd,actual_cost_usd,estimated_tokens,doc_tokens_est,query_tokens_est,cpu_time_sec,gpu_time_sec,max_gpu_memory_allocated_mb,max_gpu_memory_reserved_mb,distance_metric
nvidia/llama-embed-nemotron-8b,0.853125,0.9057291666666666,0.9079166666666666,0.9102418154761904,0.9107863230519481,0.9107863230519481,0.9107863230519481,0.853125,0.96875,0.978125,0.99375,1.0,1.0,1.0,0.853125,0.3229166666666667,0.195625,0.09937499999999999,0.049999999999999996,0.019999999999999997,0.009999999999999998,0.04393183581996709,llama-embed-nemotron,local,/tmp/chroma_5861533_llama-embed-nemotron,True,1024,0,20,20,65.34852480888367,4.318410634994507,44.476141929626465,custom,none,none,none,none,none,27.845587476,63.0104296875,15166.197265625,15546.0,cosine
Qwen/Qwen3-Embedding-8B,0.8875,0.9265625,0.9301562499999999,0.9312847222222222,0.9315251068376069,0.9315251068376069,0.9315251068376069,0.8875,0.971875,0.9875,0.996875,1.0,1.0,1.0,0.8875,0.32395833333333335,0.19749999999999995,0.0996875,0.049999999999999996,0.019999999999999997,0.009999999999999998,0.04806455280631781,qwen3,local,/tmp/chroma_5861537_qwen3,True,1024,0,20,20,30.639994144439697,2.5679943561553955,10.265645027160645,custom,none,none,none,none,none,44.907177368,28.3553984375,16764.16845703125,17334.0,cosine
Qwen/Qwen3-Embedding-8B,0.8875,0.9265625,0.9301562499999999,0.9312847222222222,0.9315251068376069,0.9315251068376069,0.9315251068376069,0.8875,0.971875,0.9875,0.996875,1.0,1.0,1.0,0.8875,0.32395833333333335,0.19749999999999995,0.0996875,0.049999999999999996,0.019999999999999997,0.009999999999999998,0.04806055879453197,qwen3,local,/tmp/chroma_5861538_qwen3,True,1024,0,20,20,27.90147638320923,2.431259870529175,7.684521675109863,custom,none,none,none,none,none,43.483870349,25.63057421875,16764.16845703125,17334.0,cosine
BAAI/bge-multilingual-gemma2,0.85,0.8989583333333332,0.9033333333333333,0.9063281249999999,0.9070521405677654,0.9070521405677654,0.9070521405677654,0.85,0.953125,0.971875,0.990625,1.0,1.0,1.0,0.85,0.31770833333333337,0.194375,0.09906249999999998,0.049999999999999996,0.019999999999999997,0.009999999999999998,0.05359943113289774,gemma2,local,/tmp/chroma_5861540_gemma2,True,1024,0,20,20,860.3001892566681,2.5441300868988037,838.1749224662781,custom,none,none,none,none,none,205.526332867,858.002375,18498.5458984375,19026.0,cosine
BAAI/bge-multilingual-gemma2,0.953125,0.971875,0.97328125,0.9738020833333334,0.9738020833333334,0.9738020833333334,0.9738020833333334,0.953125,0.990625,0.996875,1.0,1.0,1.0,1.0,0.953125,0.8208333333333332,0.73125,0.58625,0.41109375000000004,0.20549999999999996,0.11368750000000002,0.055788917851168664,gemma2,local,/tmp/chroma_5861542_gemma2,False,1024,100,20,240,427.53370428085327,30.06297755241394,376.8727083206177,custom,none,none,none,none,none,150.225325002,425.1809375,19909.1474609375,22062.0,cosine
nvidia/llama-embed-nemotron-8b,0.9375,0.9557291666666666,0.9571354166666666,0.9590228174603175,0.9590228174603175,0.9590228174603175,0.9590776420217211,0.9375,0.975,0.98125,0.996875,0.996875,0.996875,1.0,0.9375,0.8125,0.7237500000000001,0.6096875,0.425625,0.21037500000000003,0.11471875000000001,0.04599630446173251,llama-embed-nemotron,local,/tmp/chroma_5861583_llama-embed-nemotron,False,1024,100,20,240,100.6173734664917,18.963458776474,64.29227471351624,custom,none,none,none,none,none,47.676111558,98.3547734375,16512.21044921875,17938.0,cosine
sentence-transformers/all-MiniLM-L6-v2,0.55625,0.628125,0.64453125,0.6552901785714286,0.6591218045826936,0.6606911804532432,0.6610268755613345,0.55625,0.721875,0.79375,0.871875,0.928125,0.971875,0.99375,0.55625,0.409375,0.3393750000000001,0.24437500000000006,0.16921875,0.1034375,0.07196875,0.9754049032460899,minilm,auto,/lnet/work/people/sajdokova/chroma_cpu_lrc,False,1024,100,20,240,377.4153821468353,59.42602586746216,4.467570543289185,none,none,none,none,none,none,1206.742160015,none,none,none,cosine
intfloat/multilingual-e5-large-instruct,0.878125,0.9020833333333332,0.9042708333333334,0.9076587301587302,0.9082707093253969,0.9087316010684579,0.9088421004481104,0.878125,0.934375,0.94375,0.96875,0.978125,0.990625,0.996875,0.878125,0.759375,0.68625,0.5431250000000001,0.3771875,0.19325000000000003,0.10825,4.248854616191238,e5,auto,/lnet/work/people/sajdokova/chroma_cpu_lrc,False,1024,100,20,240,3060.531804084778,1665.1992843151093,34.22341012954712,none,none,none,none,none,none,23331.976042416,none,none,none,cosine
fav-kky/FERNET-C5,0.3125,0.396875,0.41937499999999994,0.4414546130952381,0.4496006427218937,0.452100201842424,0.4527426455785476,0.3125,0.509375,0.609375,0.775,0.8875,0.9625,1.0,0.3125,0.2479166666666667,0.226875,0.18937500000000002,0.14359375000000002,0.09643750000000001,0.07043750000000001,2.3587069445522504,fernet,auto,/lnet/work/people/sajdokova/chroma_cpu_lrc,False,1024,100,20,240,1335.8332118988037,575.248055934906,4.2149646282196045,none,none,none,none,none,none,7644.685725409,none,none,none,cosine
all-mpnet-base-v2,0.44375,0.5072916666666666,0.5229166666666666,0.5347135416666667,0.541024765662077,0.5445766308338016,0.5452454026093103,0.44375,0.590625,0.659375,0.746875,0.840625,0.94375,0.9875,0.44375,0.3395833333333333,0.2875,0.22437500000000005,0.16468750000000001,0.10575000000000001,0.07675000000000001,2.4159640780300835,mpnet,auto,/lnet/work/people/sajdokova/chroma_cpu_lrc,False,1024,100,20,240,1252.4335460662842,473.84550499916077,3.9596047401428223,none,none,none,none,none,none,7042.7017203840005,none,none,none,cosine
sentence-transformers/paraphrase-xlm-r-multilingual-v1,0.78125,0.8338541666666666,0.8394791666666667,0.8428112599206349,0.8435417794011544,0.8439960811502631,0.8442975719689116,0.78125,0.9,0.925,0.95,0.959375,0.975,0.996875,0.78125,0.6,0.5037499999999999,0.3875,0.26828124999999997,0.14956250000000001,0.09284375000000003,2.4975679343100636,paraphrase,auto,/lnet/work/people/sajdokova/chroma_cpu_lrc,False,1024,100,20,240,967.4079914093018,159.01695489883423,7.790167570114136,none,none,none,none,none,none,4882.72953274,none,none,none,cosine
Qwen/Qwen3-Embedding-4B,0.94375,0.9619791666666668,0.9633854166666668,0.9646130952380952,0.9646130952380952,0.9646130952380952,0.9646651785714285,0.94375,0.98125,0.9875,0.996875,0.996875,0.996875,1.0,0.94375,0.8270833333333332,0.750625,0.623125,0.44328125000000007,0.21593749999999998,0.11556250000000001,0.049395164928864685,qwen3-4b,local,/tmp/chroma_5861682_qwen3-4b,False,1024,100,20,240,127.13815307617188,18.237767219543457,90.26872253417969,custom,none,none,none,none,none,107.458707344,124.771953125,11995.09326171875,15374.0,cosine
sentence-transformers/all-MiniLM-L6-v2,0.50625,0.6010416666666666,0.6297916666666667,0.644391121031746,0.6482929093475969,0.6482929093475969,0.6482929093475969,0.50625,0.715625,0.840625,0.946875,1.0,1.0,1.0,0.50625,0.23854166666666665,0.168125,0.0946875,0.049999999999999996,0.019999999999999997,0.009999999999999998,0.9800944672897458,minilm,auto,/lnet/work/people/sajdokova/chroma_cpu_lrc/minilm,True,1024,0,20,20,330.10644721984863,12.686855554580688,3.223137855529785,none,none,none,none,none,none,886.663372884,none,none,none,cosine
intfloat/multilingual-e5-large-instruct,0.7375,0.79375,0.8065625000000001,0.8142906746031745,0.8162072272090655,0.8162072272090655,0.8162072272090655,0.7375,0.8625,0.91875,0.975,1.0,1.0,1.0,0.7375,0.2875,0.18375,0.09749999999999999,0.049999999999999996,0.019999999999999997,0.009999999999999998,4.232886529713869,e5,auto,/lnet/work/people/sajdokova/chroma_cpu_lrc/e5,True,1024,0,20,20,1485.4717938899994,96.72970986366272,33.73573970794678,none,none,none,none,none,none,11331.546644014,none,none,none,cosine
fav-kky/FERNET-C5,0.303125,0.4140625,0.43984375,0.46718253968253964,0.47668142264190055,0.47668142264190055,0.47668142264190055,0.303125,0.55,0.665625,0.871875,1.0,1.0,1.0,0.303125,0.18333333333333332,0.133125,0.0871875,0.049999999999999996,0.019999999999999997,0.009999999999999998,2.330763041472528,fernet,auto,/lnet/work/people/sajdokova/chroma_cpu_lrc/fernet,True,1024,0,20,20,819.297431230545,69.01310658454895,3.989753007888794,none,none,none,none,none,none,3742.981200133,none,none,none,cosine
all-mpnet-base-v2,0.44375,0.5541666666666666,0.5738541666666667,0.5877566964285714,0.5956209034880668,0.5956209034880668,0.5956209034880668,0.44375,0.690625,0.778125,0.890625,1.0,1.0,1.0,0.44375,0.2302083333333333,0.15562499999999999,0.0890625,0.049999999999999996,0.019999999999999997,0.009999999999999998,2.3851751797599716,mpnet,auto,/lnet/work/people/sajdokova/chroma_cpu_lrc/mpnet,True,1024,0,20,20,829.8727371692657,62.038161754608154,4.110702753067017,none,none,none,none,none,none,3942.1972163789997,none,none,none,cosine
sentence-transformers/paraphrase-xlm-r-multilingual-v1,0.58125,0.66875,0.6846875,0.693093998015873,0.699814549982289,0.699814549982289,0.699814549982289,0.58125,0.771875,0.840625,0.909375,1.0,1.0,1.0,0.58125,0.25729166666666664,0.168125,0.09093749999999998,0.049999999999999996,0.019999999999999997,0.009999999999999998,2.619129417464137,paraphrase,auto,/lnet/work/people/sajdokova/chroma_cpu_lrc/paraphrase,True,1024,0,20,20,884.7692790031433,39.2836229801178,6.916018962860107,none,none,none,none,none,none,3992.0374957589997,none,none,none,cosine
Qwen/Qwen3-Embedding-4B,0.94375,0.9640625,0.9662499999999999,0.9662499999999999,0.9662499999999999,0.966350806451613,0.966350806451613,0.94375,0.9875,0.996875,0.996875,0.996875,1.0,1.0,0.94375,0.8677083333333334,0.8175000000000001,0.7212500000000001,0.6017187500000001,0.3775,0.22231250000000005,0.046306707759504205,qwen3-4b,local,/tmp/chroma_5872726_qwen3-4b,False,512,100,20,527,292.815842628479,18.34568476676941,256.66639375686646,custom,none,none,none,none,none,113.89694398399999,290.25521875,10050.79052734375,12594.0,cosine
nvidia/llama-embed-nemotron-8b,0.925,0.9494791666666667,0.9532291666666666,0.9537500000000001,0.9537500000000001,0.9537500000000001,0.9537500000000001,0.925,0.98125,0.996875,1.0,1.0,1.0,1.0,0.925,0.8354166666666666,0.7825,0.6796875,0.5690625,0.355625,0.21596875000000004,0.046779581216105724,llama-embed-nemotron,local,/tmp/chroma_5872730_llama-embed-nemotron,False,512,100,20,527,95.36740279197693,24.58376669883728,52.7518675327301,custom,none,none,none,none,none,59.748803536,92.85659375,15577.72119140625,18128.0,cosine
Qwen/Qwen3-Embedding-8B,0.959375,0.9703125,0.9724999999999999,0.9730208333333333,0.9730208333333333,0.9731155303030302,0.9731155303030302,0.959375,0.984375,0.99375,0.996875,0.996875,1.0,1.0,0.959375,0.8677083333333334,0.8168749999999999,0.7265625,0.6068749999999999,0.38175000000000003,0.22509375,0.05154938409832539,qwen3,local,/tmp/chroma_5872724_qwen3,False,512,100,20,527,553.3836965560913,27.11323380470276,506.8680462837219,custom,none,none,none,none,none,179.86139598100002,550.9014375,17059.56298828125,20312.0,cosine
BAAI/bge-multilingual-gemma2,0.959375,0.9755208333333332,0.9770833333333332,0.9770833333333332,0.9770833333333332,0.9770833333333332,0.9770833333333332,0.959375,0.99375,1.0,1.0,1.0,1.0,1.0,0.959375,0.8541666666666666,0.79125,0.6799999999999999,0.558125,0.3465625,0.21181250000000001,0.05681804721825756,gemma2,local,/tmp/chroma_5872751_gemma2,False,512,100,20,527,671.5761437416077,35.07309079170227,615.2417616844177,custom,none,none,none,none,none,337.876513916,669.0189375,18921.93408203125,21346.0,cosine
BAAI/bge-multilingual-gemma2,0.9625,0.9723958333333332,0.9750520833333333,0.9753993055555557,0.9753993055555557,0.9753993055555557,0.9753993055555557,0.9625,0.984375,0.996875,1.0,1.0,1.0,1.0,0.9625,0.9020833333333333,0.8487500000000001,0.7721875,0.6721874999999999,0.5215,0.3786875,0.056567533986526544,gemma2,local,/tmp/chroma_5872770_gemma2,False,256,100,20,1377,662.4107279777527,45.95671463012695,595.5039346218109,custom,none,none,none,none,none,322.24938803,660.0506875,18315.076171875,19886.0,cosine
Qwen/Qwen3-Embedding-4B,0.946875,0.9677083333333334,0.9683333333333334,0.9688541666666666,0.9688541666666666,0.9688541666666666,0.9688963963963964,0.946875,0.990625,0.99375,0.996875,0.996875,0.996875,1.0,0.946875,0.9135416666666668,0.87625,0.8071874999999998,0.71703125,0.5641875000000001,0.41121875,0.0472080199571792,qwen3-4b,local,/tmp/chroma_5872775_qwen3-4b,False,256,100,20,1377,296.53542017936707,25.12489676475525,253.44053268432617,custom,none,none,none,none,none,121.12476302599998,294.037375,8988.060546875,10696.0,cosine
nvidia/llama-embed-nemotron-8b,0.94375,0.9625,0.9646874999999999,0.9655555555555555,0.9655555555555555,0.9655555555555555,0.9655555555555555,0.94375,0.984375,0.99375,1.0,1.0,1.0,1.0,0.94375,0.88125,0.838125,0.77125,0.6753125000000001,0.5260625,0.37925,0.04771917273610597,llama-embed-nemotron,local,/tmp/chroma_5872778_llama-embed-nemotron,False,256,100,20,1377,94.83718585968018,29.825161933898926,46.93486928939819,custom,none,none,none,none,none,67.085901106,92.409109375,14998.12255859375,17858.0,cosine
Qwen/Qwen3-Embedding-8B,0.959375,0.9708333333333334,0.9728645833333334,0.9732118055555554,0.9732118055555554,0.9732118055555554,0.9732584473466004,0.959375,0.984375,0.99375,0.996875,0.996875,0.996875,1.0,0.959375,0.9208333333333334,0.884375,0.8143749999999998,0.725,0.5765,0.41534375,0.06298221329052467,qwen3,local,/tmp/chroma_5872773_qwen3,False,256,100,20,1377,606.6362135410309,45.18112587928772,538.0391933917999,custom,none,none,none,none,none,225.081609008,604.0300625,15846.91796875,18014.0,cosine
text-embedding-3-small,0.896875,0.9229166666666666,0.9260416666666667,0.9264322916666666,0.9274455492424242,0.9280176652192658,0.9280176652192658,0.896875,0.95625,0.96875,0.971875,0.984375,1.0,1.0,0.896875,0.7739583333333333,0.6825,0.5493750000000001,0.36453125000000003,0.18475000000000003,0.10165625,0.5605870396480895,text-embedding-3-small,auto,./chroma_data/,False,1024,0,20,217,202.68402194976807,17.843971729278564,4.750464200973511,none,0.0015699000000000002,0.0015699000000000002,78495,71029,7466,9.594390713,none,none,none,cosine
text-embedding-3-large,0.890625,0.9213541666666666,0.9249479166666668,0.9270746527777778,0.9275188929738564,0.9277548260222893,0.9277548260222893,0.890625,0.95625,0.971875,0.9875,0.99375,1.0,1.0,0.890625,0.8083333333333332,0.7268749999999999,0.58875,0.40906249999999994,0.19537500000000002,0.10453125,0.6975647652987391,text-embedding-3-large,auto,./chroma_data/,False,1024,0,20,217,235.20450091362,9.660170555114746,1.6994881629943848,none,0.01020435,0.01020435,78495,71029,7466,9.589000593000002,none,none,none,cosine
Qwen/Qwen3-Embedding-8B,0.953125,0.96875,0.9703125,0.9708333333333332,0.9708333333333332,0.9709280303030303,0.9709280303030303,0.953125,0.9875,0.99375,0.996875,0.996875,1.0,1.0,0.953125,0.8395833333333332,0.760625,0.63875,0.44625000000000004,0.21731250000000002,0.116125,0.05583788943913533,qwen3,local,/tmp/chroma_5887833_qwen3,False,1024,100,20,240,543.7985236644745,26.471396684646606,496.3044147491455,custom,none,none,none,none,none,176.189221246,541.2111875,19222.26318359375,23072.0,cosine
